AK,01/07/2016,84,19,19,,,e 61 st,,0,,,0,0
AK,01/07/2017,21,62,62,,,new utrecht ave,,0,0630,0700,0,0
AK,01/07/2017,38,102,102,,,101 ave,,0,0830,0700,0,0
AK,01/07/2019,16,78,78,,,bergen st,85ft w/of 3 ave,0,0700,0400,0,0
AK,01/07/2019,20,25,25,,,lexington ave,,0,0800,0600,0,0
AK,01/07/2019,7,0,0,,,86 st (e/b) @ 7,ave,0,,,2009,0
AK,01/07/2020,31,1,1,,,spring st,,0,0800,0600,0,0
AK,01/07/2020,36,0,0,,,wb union tpke @ wood,haven blvd,0,,,2010,0
AK,01/07/2020,40,9,9,,,cooper square,,0,,,0,3
AK,01/07/2021,7,0,0,,,sb richmond rd @ nar,rows rd n,0,,,2018,0
AK,01/07/2022,14,10,10,,,w 39 st,,0,0800,1000,0,0
AK,01/07/2022,36,0,0,,,nb cropsey ave @ har,t pl,0,,,2016,0
AK,01/07/2023,21,62,62,,,new utrecht ave,,0,0700,0730,0,0
AK,01/07/2023,36,0,0,,,nb bedford ave @ gat,es ave,0,,,2016,0
AK,01/08/2015,21,46,46,,,lorillard pl,,01/05/0001 12:00:00 PM,1130,0100,0,0
AK,01/08/2015,21,46,46,,,lorillard pl,,01/05/0001 12:00:00 PM,1130,0100,0,0
AK,01/08/2015,38,103,103,,,jamaica ave,,01/05/0001 12:00:00 PM,0900,0700,0,0
AK,01/08/2015,38,103,103,,,jamaica ave,,01/05/0001 12:00:00 PM,0900,0700,0,0
AK,01/08/2015,38,84,84,,,atlantic ave,,01/05/0001 12:00:00 PM,0730,0700,0,0
AK,01/08/2016,20,75,75,,,geneva loop,,0,,,0,0
AK,01/08/2016,21,104,104,,,linden st,,0,0830,1000,0,0
AK,01/08/2016,21,47,47,,,e 230 st,80ft w/of paulding a,0,0930,1100,0,0
AK,01/08/2016,21,68,0,,,9 ave,,0,0800,0830,0,0
AK,01/08/2016,21,70,70,,,e 17 st,,0,1130,0100,0,0
AK,01/08/2016,40,44,44,,,jesup ave,,0,,,0,0
AK,01/08/2020,20,13,13,,,w 16 st,,0,,,0,0
AK,01/08/2020,38,62,62,,,86 st,,0,0900,0700,0,0
AK,01/08/2021,16,103,103,,,guy r brewer blvd,,0,,,0,0
AK,01/08/2021,21,48,48,,,e 180 st,100ft e/of prospect,0,1130,0100,0,0
AK,01/08/2021,31,1,1,,,water st,,0,0800,0600,0,0
AK,01/08/2022,40,104,104,,,68 rd,,0,,,0,0
AK,01/08/2022,98,83,83,,,aberdeen s,,0,,,0,0
AK,01/09/2015,14,18,18,,,w 56 st,55ft w/of 9 ave,01/05/0001 12:00:00 PM,0800,0930,0,0
AK,01/09/2015,14,18,18,,,w 56 st,55ft w/of 9 ave,01/05/0001 12:00:00 PM,0800,0930,0,0
AK,01/09/2015,21,94,94,,,n 9 st,,01/05/0001 12:00:00 PM,1200,0300,0,0
AK,01/09/2015,21,94,94,,,n 9 st,,01/05/0001 12:00:00 PM,1200,0300,0,0
AK,01/09/2015,38,47,47,,,e gun hill rd,,01/05/0001 12:00:00 PM,0800,0700,0,0
AK,01/09/2015,38,47,47,,,e gun hill rd,,01/05/0001 12:00:00 PM,0800,0700,0,0
AK,01/09/2015,40,114,114,,,21 ave,20ft e/of 33 st,01/05/0001 12:00:00 PM,,,0,3
AK,01/09/2015,40,114,114,,,21 ave,20ft e/of 33 st,01/05/0001 12:00:00 PM,,,0,3
AK,01/09/2015,98,0,114,,,35 st,,01/05/0001 12:00:00 PM,,,0,0
AK,01/09/2015,98,0,114,,,35 st,,01/05/0001 12:00:00 PM,,,0,0
AK,01/09/2017,20,28,28,,,w 128 st,,0,0800,0600,0,0
AK,01/09/2017,37,20,20,0104P,0104,w 69 st,,201701,0900,0700,0,0
AK,01/09/2017,38,102,102,,,101 ave,,0,0830,0700,0,0
AK,01/09/2018,21,6,0,,,king st,,0,0900,1030,0,0
AK,01/09/2018,38,106,106,,,liberty ave,,0,0900,0700,0,0
AK,01/09/2018,40,115,115,,,89 st,,0,,,0,9
AK,01/09/2019,20,90,90,,,meserole st,,0,0800,0600,0,0
AK,01/09/2019,21,52,52,,,w 195 st,,0,1130,0100,0,0
AK,01/09/2020,19,114,114,,,steinway st,,0,,,0,0
AK,01/09/2020,21,40,40,,,e 153 st,,0,0800,0930,0,0
